timestamp,lat,long,alt
1490994753310246178,37.4267475624,-122.075471458,-32.8215539372
1490994753409029310,37.4267476379,-122.075471357,-32.8194615089
1490994753508905223,37.4267477784,-122.075471213,-32.8203942035
1490994753635711863,37.4267479834,-122.075470981,-32.8207245634
1490994753708637965,37.426748271,-122.075470654,-32.8210721442
1490994754008292316,37.4267498716,-122.075468812,-32.8279546292
1490994754108162085,37.4267506346,-122.075467835,-32.8286724568
1490994754208185201,37.4267515194,-122.075466654,-32.8265806992
1490994754309501247,37.4267525664,-122.075465265,-32.8263533203
1490994754508813132,37.4267549117,-122.07546173,-32.8341069325
1490994754635568943,37.4267562304,-122.075459586,-32.8351274853
1490994754708488480,37.426757643,-122.075457181,-32.8410110754
1490994754808405077,37.4267591563,-122.075454526,-32.8474904016
1490994754908339958,37.426760717,-122.075451575,-32.8493739694
1490994755009222049,37.4267623222,-122.075448357,-32.846172507
1490994755109160044,37.4267638822,-122.075444886,-32.8417145286
1490994755214040063,37.4267654797,-122.075441168,-32.8389520569
1490994755309940704,37.4267670972,-122.075437226,-32.8364012549
1490994755408866432,37.4267687172,-122.075433077,-32.8411028305
1490994755508711830,37.4267703851,-122.075428728,-32.8415686149
1490994755636593754,37.4267720993,-122.075424215,-32.8450223808
1490994755709588118,37.4267738403,-122.075419474,-32.8509160312
1490994755809372583,37.4267754717,-122.075414473,-32.8438887367
1490994755909275935,37.4267770575,-122.07540928,-32.840277185
1490994756109005039,37.4267803366,-122.075398587,-32.8404449735
1490994756208873174,37.4267820509,-122.075393107,-32.8448861726
1490994756310793250,37.4267837802,-122.075387429,-32.8462761902
1490994756409643203,37.4267855073,-122.075381578,-32.8476059986
1490994756637399787,37.4267888371,-122.075369496,-32.8543024406
1490994756709850327,37.4267905138,-122.075363271,-32.8526609754
1490994756810223396,37.4267922571,-122.075356969,-32.8512170879
1490994756910148887,37.4267941441,-122.075350581,-32.8606450505
1490994757010027049,37.426796152,-122.075344115,-32.8667331105
1490994757109916558,37.4267981814,-122.07533753,-32.8727857968
1490994757213818137,37.4268001705,-122.075330795,-32.8755031397
1490994757311604741,37.426802101,-122.075323924,-32.8776036463
1490994757410494033,37.4268040138,-122.075316977,-32.8915481385
1490994757510380750,37.4268060438,-122.075310005,-32.9051359967
1490994757637178084,37.4268082962,-122.075302986,-32.9158455993
1490994757711643124,37.4268105096,-122.07529593,-32.9999416252
1490994757910860677,37.426814918,-122.075281493,-33.0255825221
1490994758010774370,37.4268171706,-122.075274219,-33.0385318499
1490994758210521475,37.4268220437,-122.075259646,-33.061670775
1490994758312341099,37.426824628,-122.075252368,-33.0693010448
1490994758510161795,37.4268302414,-122.075238105,-33.0974738558
1490994758638173650,37.4268329409,-122.075230896,-33.1033218578
1490994758710986823,37.4268357948,-122.075223785,-33.1133207044
1490994758810886469,37.4268389675,-122.075216782,-33.1235420872
1490994758910804346,37.4268421688,-122.075209782,-33.132370941
1490994759010646535,37.4268454335,-122.075202767,-33.1398762626
1490994759109550783,37.4268488497,-122.075195823,-33.1479411947
1490994759212452432,37.4268522742,-122.075188947,-33.1718161474
1490994759310261505,37.4268556709,-122.075182067,-33.199449781
1490994759409140794,37.4268590989,-122.075175221,-33.2316481944
1490994759509020430,37.4268626176,-122.075168455,-33.2646884413
1490994759636896891,37.4268662516,-122.075161745,-33.2947586823
1490994759714833035,37.4268699005,-122.075155031,-33.3225844544
1490994759809692307,37.4268735977,-122.075148277,-33.3456539921
1490994759909615228,37.4268774004,-122.075141566,-33.3795550168
1490994760009503155,37.426881284,-122.075134921,-33.4086376802
1490994760108409504,37.4268852413,-122.075128335,-33.4369970214
1490994760208262885,37.4268891865,-122.075121826,-33.4645961
1490994760309187349,37.4268931494,-122.07511534,-33.4974284102
1490994760407990822,37.4268972509,-122.075108943,-33.5261923962
1490994760508912963,37.4269015173,-122.075102686,-33.5504423475
1490994760634266687,37.426905811,-122.075096552,-33.562695384
1490994760708615015,37.4269101709,-122.075090556,-33.5726573502
1490994760808540269,37.4269146749,-122.075084693,-33.5893812697
1490994760908406593,37.4269192941,-122.075079045,-33.604716513
1490994761008850076,37.4269240396,-122.075073468,-33.6107028445
1490994761108133372,37.4269289141,-122.075068098,-33.6159844716
1490994761217176608,37.4269338442,-122.075062934,-33.6201205022
