timestamp,tx,ty,tz,rx,ry,rz
1490991669632703016,0.7,-76.99,2.173,0.0,0.0,0.0
1490991669740687507,0.7,-76.99,2.174,0.0,0.0,0.0
1490991669833559800,0.699,-76.991,2.175,0.0,0.0,0.0
1490991669934314484,0.699,-76.99,2.177,0.0,0.0,0.0
1490991670034223059,0.699,-76.991,2.176,0.0,0.0,0.0
1490991670133150092,0.698,-76.99,2.174,0.0,0.0,0.0
1490991670232809676,0.698,-76.989,2.174,0.0,0.0,0.0
1490991670332701306,0.698,-76.989,2.175,0.0,0.0,0.0
1490991670459553861,0.698,-76.989,2.178,0.0,0.0,0.0
1490991670533405829,0.698,-76.991,2.17,0.0,0.0,0.0
1490991670633089634,0.699,-76.991,2.173,0.0,0.0,0.0
1490991670733170980,0.698,-76.991,2.174,0.0,0.0,0.0
1490991670834005053,0.698,-76.99,2.174,0.0,0.0,0.0
1490991670934480569,0.697,-76.99,2.174,0.0,0.0,0.0
1490991671033782241,0.697,-76.99,2.175,0.0,0.0,0.0
1490991671132581389,0.697,-76.989,2.177,0.0,0.0,0.0
1490991671232409499,0.697,-76.989,2.176,0.0,0.0,0.0
1490991671333364929,0.697,-76.988,2.177,0.0,0.0,0.0
1490991671459231674,0.696,-76.989,2.178,0.0,0.0,0.0
1490991671533673185,0.698,-76.989,2.169,0.0,0.0,0.0
1490991671632851054,0.699,-76.989,2.171,0.0,0.0,0.0
1490991671759860404,0.698,-76.99,2.17,0.0,0.0,0.0
1490991671833541683,0.698,-76.989,2.171,0.0,0.0,0.0
1490991671934534835,0.697,-76.989,2.171,0.0,0.0,0.0
1490991672034271910,0.697,-76.989,2.171,0.0,0.0,0.0
1490991672133159538,0.696,-76.989,2.172,0.0,0.0,0.0
1490991672233040072,0.697,-76.989,2.171,0.0,0.0,0.0
1490991672332933227,0.697,-76.988,2.173,0.0,0.0,0.0
1490991672459644697,0.697,-76.989,2.172,0.0,0.0,0.0
1490991672533389847,0.698,-76.99,2.173,0.0,0.0,0.0
1490991672634425948,0.698,-76.991,2.171,0.0,0.0,0.0
1490991672734296074,0.698,-76.99,2.172,0.0,0.0,0.0
1490991672834256813,0.697,-76.989,2.172,0.0,0.0,0.0
1490991672933951416,0.698,-76.989,2.172,0.0,0.0,0.0
1490991673034336224,0.699,-76.988,2.17,0.0,0.0,0.0
1490991673132607069,0.698,-76.988,2.172,0.0,0.0,0.0
1490991673233480921,0.698,-76.987,2.172,0.0,0.0,0.0
1490991673333304110,0.697,-76.988,2.173,0.0,0.0,0.0
1490991673459208821,0.696,-76.989,2.175,0.0,0.0,0.0
1490991673533015922,0.7,-76.989,2.171,0.0,0.0,0.0
1490991673633004888,0.7,-76.989,2.17,0.0,0.0,0.0
1490991673743749152,0.7,-76.989,2.17,0.0,0.0,0.0
1490991673833678208,0.7,-76.989,2.171,0.0,0.0,0.0
1490991673934252035,0.7,-76.988,2.17,0.0,0.0,0.0
1490991674033917747,0.7,-76.988,2.17,0.0,0.0,0.0
1490991674133119103,0.699,-76.988,2.172,0.0,0.0,0.0
1490991674232987434,0.699,-76.988,2.173,0.0,0.0,0.0
1490991674332927139,0.699,-76.989,2.174,0.0,0.0,0.0
1490991674458739268,0.698,-76.988,2.173,0.0,0.0,0.0
1490991674532670324,0.699,-76.99,2.172,0.0,0.0,0.0
1490991674633456313,0.7,-76.988,2.171,0.0,0.0,0.0
1490991674732173438,0.7,-76.989,2.173,0.0,0.0,0.0
1490991674832253515,0.699,-76.989,2.171,0.0,0.0,0.0
