['car', 650.63287, 703.17426, 373.1199, 310.4827, 0.74012994766235352],[ 9.866057  0.155863 -1.103499]
['car', 651.50165, 704.86749, 377.18109, 311.93597, 0.74165409803390503],[ 9.860334  0.186535 -1.09646 ]
['car', 651.06311, 704.93866, 377.66864, 311.59189, 0.74259859323501587],[ 9.849166  0.176237 -1.105676]
['car', 651.05652, 704.37085, 376.69955, 310.64056, 0.74244600534439087],[ 9.852012  0.182253 -1.10392 ]
['car', 651.08575, 704.8938, 377.20651, 311.27518, 0.74193429946899414],[ 9.850915  0.180753 -1.108975]
['car', 650.6413, 704.61011, 377.95419, 311.52835, 0.74424886703491211],[ 9.848524  0.175117 -1.123451]
['car', 650.66583, 704.62256, 376.57346, 311.14917, 0.7403266429901123],[ 9.848476  0.187603 -1.138443]
['car', 650.60919, 704.83881, 378.22229, 311.0062, 0.73931670188903809],[ 9.852065  0.188444 -1.102039]
['car', 650.49469, 705.33661, 376.35959, 310.35608, 0.73971104621887207],[ 9.848881  0.191823 -1.103626]
['car', 650.19867, 705.84863, 376.0318, 310.04092, 0.74491876363754272],[ 9.848869  0.177031 -1.109484]
['car', 650.81354, 705.22223, 377.57288, 312.24255, 0.74404001235961914],[ 9.849108  0.188705 -1.105244]
['car', 650.57526, 705.31384, 375.72968, 311.4874, 0.7409975528717041],[ 9.85123   0.181536 -1.104066]
['car', 650.46613, 705.62012, 376.42456, 311.62689, 0.7403450608253479],[ 9.85081   0.173083 -1.099561]
['car', 650.29236, 705.20856, 378.2843, 313.43149, 0.74384570121765137],[ 9.851735  0.180915 -1.104283]
['car', 650.34058, 705.61102, 375.70309, 309.89572, 0.74441039562225342],[ 9.849159  0.174581 -1.116189]
['car', 650.54272, 706.42145, 376.38196, 310.36572, 0.74598217010498047],[ 9.845476  0.170505 -1.120226]
