timestamp,lat,long,alt
1490993364995072314,37.4258625195,-122.076806697,-32.7572911944
1490993365094984189,37.4258625401,-122.076806709,-32.7585511678
1490993365194903597,37.4258625451,-122.076806713,-32.7617254437
1490993365295798363,37.425862543,-122.076806708,-32.7589044974
1490993365395709814,37.4258625496,-122.076806715,-32.7581852344
1490993365495607113,37.4258625362,-122.076806722,-32.7571573781
1490993365619412532,37.4258625304,-122.076806715,-32.7507201249
1490993365695374263,37.4258625346,-122.076806713,-32.7507184481
1490993365996014713,37.4258626159,-122.076806722,-32.7462604913
1490993366095904657,37.4258627109,-122.076806723,-32.7465705539
1490993366195752020,37.4258628359,-122.07680672,-32.7472532418
1490993366296662641,37.4258629845,-122.076806709,-32.7459840192
1490993366396064708,37.4258631427,-122.076806693,-32.7446627653
1490993366495456441,37.4258633363,-122.076806674,-32.743688208
1490993366620262825,37.4258635411,-122.076806659,-32.7430185873
1490993366696210210,37.4258637766,-122.076806638,-32.7463677758
1490993366796037913,37.4258640591,-122.076806608,-32.7491090133
1490993366995812118,37.425864688,-122.076806569,-32.7497562783
1490993367620179376,37.425867395,-122.076806474,-32.7416324667
1490993367696032198,37.4258679924,-122.07680646,-32.7351837602
1490993367895723796,37.425869377,-122.076806449,-32.738922891
1490993367996645710,37.4258701465,-122.07680652,-32.7513346194
1490993368095512278,37.4258709956,-122.076806527,-32.7463611038
1490993368195481040,37.4258719,-122.07680656,-32.7394379409
1490993368296848813,37.4258728885,-122.076806604,-32.733206418
1490993368396197706,37.4258739616,-122.076806683,-32.7338807317
1490993368618973194,37.4258763168,-122.076806908,-32.7464284741
1490993368695846236,37.425877606,-122.076806948,-32.7380195819
1490993368795727737,37.4258789853,-122.07680702,-32.7328006016
1490993368895702173,37.425880381,-122.076807158,-32.7188425995
1490993368995554832,37.4258818806,-122.076807351,-32.7223190641
1490993369095572078,37.4258833955,-122.076807532,-32.7214594054
1490993369195395375,37.4258849121,-122.076807721,-32.7238159221
1490993369395697955,37.4258879608,-122.07680817,-32.7149739808
1490993369496035096,37.4258894945,-122.076808441,-32.7215990739
