timestamp,lat,long,alt
1490993843000567214,37.4268295811,-122.075963995,-32.8993239826
1490993843113497609,37.4268331259,-122.075960771,-32.9031029086
1490993843301192912,37.4268400024,-122.07595482,-32.9090719875
1490993843400100546,37.4268433737,-122.07595202,-32.9126324866
1490993843500537944,37.4268467149,-122.075949359,-32.9150144633
1490993843626335938,37.4268500061,-122.075946834,-32.9171437059
1490993843700752769,37.4268532528,-122.075944401,-32.928330385
1490993843800694141,37.4268565137,-122.075942143,-32.93423936
1490993843900533303,37.4268597823,-122.075940019,-32.9369331629
1490993844100343530,37.4268663041,-122.075936197,-32.9418425984
1490993844200234481,37.4268696226,-122.075934702,-32.9423019292
1490993844301118217,37.4268729973,-122.075933466,-32.9466464236
1490993844400037900,37.4268763529,-122.075932347,-32.9509328806
1490993844700655910,37.4268864187,-122.075930011,-32.987597797
1490993844800624530,37.4268897305,-122.075929851,-32.9922503345
1490993844900459609,37.4268930199,-122.075930012,-32.9934602758
1490993845116299464,37.4268994243,-122.075931111,-33.0136105023
1490993845301010579,37.4269056229,-122.075933445,-33.027520197
1490993845500178286,37.4269114632,-122.075936843,-33.0397056196
1490993845626093288,37.4269142325,-122.075938958,-33.0392013187
1490993845700508213,37.4269168269,-122.075941331,-33.0488783971
1490993846001090528,37.4269235395,-122.075949917,-33.0871905647
1490993846100038097,37.4269254014,-122.07595319,-33.1105072302
1490993846199882495,37.4269271141,-122.07595658,-33.1186232965
1490993846300798438,37.4269286204,-122.075960167,-33.1229243918
1490993846399677508,37.4269299225,-122.075963911,-33.1258492259
1490993846500545961,37.4269309543,-122.075967869,-33.1261165788
1490993846626367579,37.4269318046,-122.075971978,-33.1284978637
1490993846700320269,37.4269324246,-122.075976134,-33.1515450532
1490993846900146692,37.4269326763,-122.075984811,-33.1607081154
1490993847001006774,37.4269322972,-122.075989138,-33.1631903833
1490993847112925704,37.4269316896,-122.075993472,-33.1555178347
1490993847399997977,37.4269284114,-122.076006117,-33.1458281443
1490993847500377434,37.4269267404,-122.076010106,-33.1494048382
1490993847626295960,37.4269248053,-122.076013961,-33.1534880145
1490993847700186923,37.426922629,-122.076017751,-33.1639325041
1490993847800160312,37.4269201525,-122.076021421,-33.1662617826
1490993847999883628,37.4269146341,-122.076028253,-33.1671670904
1490993848099657071,37.4269116578,-122.076031541,-33.1638885746
1490993848199548962,37.4269086223,-122.076034794,-33.160012066
1490993848300450256,37.4269054787,-122.076037908,-33.160652086
1490993848399353690,37.4269021234,-122.076040781,-33.1543321567
1490993848500226859,37.4268986262,-122.076043537,-33.156836604
1490993848624095816,37.426894959,-122.07604614,-33.1494883302
1490993848700053899,37.4268911614,-122.076048659,-33.1603531682
1490993848799824058,37.4268873291,-122.076051155,-33.1600270932
1490993848899726287,37.4268834012,-122.076053634,-33.1575058042
1490993849115577339,37.426875356,-122.076058489,-33.1269255366
1490993849300305597,37.4268669815,-122.076063006,-33.1126358271
1490993849399771036,37.4268627201,-122.076065404,-33.1020553532
1490993849699959221,37.4268499335,-122.076073473,-33.0745563993
1490993849799823539,37.4268455756,-122.076076102,-33.063170875
1490993849899714738,37.4268411321,-122.076078639,-33.0559224664
1490993850200361260,37.4268275114,-122.076086603,-33.0170792994
1490993850301307542,37.4268229367,-122.076089486,-33.0007249669
1490993850400146129,37.4268183165,-122.076092381,-32.9827137025
1490993850500074444,37.4268135897,-122.076095223,-32.9712962489
1490993850625898930,37.4268087911,-122.076098041,-32.9488504078
1490993850700853459,37.4268039585,-122.076100873,-32.9585216584
1490993850800762108,37.426799081,-122.076103792,-32.9445812515
1490993850900688663,37.4267941919,-122.076106735,-32.9334153518
1490993851001046860,37.4267892389,-122.076109706,-32.9224656237
1490993851114420723,37.4267842794,-122.07611272,-32.9192151196
1490993851200807625,37.4267792513,-122.076115771,-32.9174003821
1490993851401074139,37.4267690112,-122.076121976,-32.8967254972
1490993851500906598,37.42676382,-122.07612517,-32.8919540273
