index,timestamp,lat,long,alt
2017-03-31 20:55:01.755901659,1490993701755901659,37.4265391275,-122.076401374,-32.7750041319
2017-03-31 20:55:01.797426036,1490993701797426036,37.4265391275,-122.076401374,-32.7750041319
2017-03-31 20:55:01.839052031,1490993701839052031,37.4265391275,-122.076401374,-32.7750041319
2017-03-31 20:55:01.880834097,1490993701880834097,37.4265391275,-122.076401374,-32.7750041319
2017-03-31 20:55:01.922382001,1490993701922382001,37.4265391265,-122.076401374,-32.7744881699
2017-03-31 20:55:01.964095259,1490993701964095259,37.4265391248,-122.076401372,-32.7735743847
2017-03-31 20:55:02.005715452,1490993702005715452,37.4265391236,-122.07640137,-32.7726945903
2017-03-31 20:55:02.047451644,1490993702047451644,37.4265391248,-122.076401364,-32.7720039017
2017-03-31 20:55:02.089078395,1490993702089078395,37.426539126,-122.076401358,-32.7713150263
2017-03-31 20:55:02.130695132,1490993702130695132,37.4265391281,-122.076401358,-32.7706754274
2017-03-31 20:55:02.172379885,1490993702172379885,37.4265391306,-122.07640136,-32.7700494761
2017-03-31 20:55:02.214057579,1490993702214057579,37.4265391334,-122.076401364,-32.7701454008
2017-03-31 20:55:02.255870322,1490993702255870322,37.4265391368,-122.076401373,-32.7714561102
2017-03-31 20:55:02.297503425,1490993702297503425,37.4265391402,-122.076401381,-32.7727611942
2017-03-31 20:55:02.339179966,1490993702339179966,37.4265391418,-122.076401377,-32.770452426
2017-03-31 20:55:02.380989006,1490993702380989006,37.4265391432,-122.076401374,-32.7679551961
2017-03-31 20:55:02.422489578,1490993702422489578,37.4265391423,-122.07640137,-32.7669306939
2017-03-31 20:55:02.464242436,1490993702464242436,37.4265391396,-122.076401366,-32.7669520543
2017-03-31 20:55:02.508139183,1490993702508139183,37.4265391375,-122.076401362,-32.7668621566
2017-03-31 20:55:02.547431812,1490993702547431812,37.4265391381,-122.076401361,-32.766389895
2017-03-31 20:55:02.589070842,1490993702589070842,37.4265391387,-122.07640136,-32.7658894337
2017-03-31 20:55:02.630698110,1490993702630698110,37.4265391371,-122.076401357,-32.7664863176
2017-03-31 20:55:02.672422362,1490993702672422362,37.4265391258,-122.076401348,-32.7719583342
2017-03-31 20:55:02.719194078,1490993702719194078,37.4265391205,-122.076401346,-32.774920995
2017-03-31 20:55:02.755790123,1490993702755790123,37.426539124,-122.076401353,-32.7739894249
2017-03-31 20:55:02.797375938,1490993702797375938,37.426539128,-122.076401362,-32.7729308329
2017-03-31 20:55:02.839052381,1490993702839052381,37.4265391321,-122.07640137,-32.7718699406
2017-03-31 20:55:02.880773870,1490993702880773870,37.4265391361,-122.076401379,-32.7708078948
2017-03-31 20:55:02.925009235,1490993702925009235,37.426539137,-122.07640139,-32.770199374
2017-03-31 20:55:02.964059463,1490993702964059463,37.4265391358,-122.076401401,-32.7699761793
2017-03-31 20:55:03.005740218,1490993703005740218,37.4265391353,-122.076401411,-32.7695861498
2017-03-31 20:55:03.047416423,1490993703047416423,37.4265391391,-122.076401411,-32.7683130883
2017-03-31 20:55:03.089149371,1490993703089149371,37.426539143,-122.076401411,-32.767038283
2017-03-31 20:55:03.133185584,1490993703133185584,37.4265391408,-122.07640141,-32.7658734281
2017-03-31 20:55:03.172413296,1490993703172413296,37.4265391363,-122.07640141,-32.7649062383
2017-03-31 20:55:03.214087004,1490993703214087004,37.4265391331,-122.076401409,-32.7645859869
2017-03-31 20:55:03.255753282,1490993703255753282,37.4265391326,-122.076401406,-32.7655765691
2017-03-31 20:55:03.297410742,1490993703297410742,37.4265391322,-122.076401403,-32.7665669444
2017-03-31 20:55:03.341540881,1490993703341540881,37.4265391345,-122.076401402,-32.7668133816
2017-03-31 20:55:03.380718158,1490993703380718158,37.4265391367,-122.076401401,-32.766982269
2017-03-31 20:55:03.422391504,1490993703422391504,37.4265391393,-122.076401398,-32.7664697393
2017-03-31 20:55:03.464164589,1490993703464164589,37.426539142,-122.076401393,-32.7654022128
2017-03-31 20:55:03.505836759,1490993703505836759,37.4265391437,-122.076401389,-32.7646895999
2017-03-31 20:55:03.549870787,1490993703549870787,37.4265391397,-122.076401385,-32.7658699665
2017-03-31 20:55:03.589077790,1490993703589077790,37.4265391362,-122.076401382,-32.7669209379
2017-03-31 20:55:03.630729482,1490993703630729482,37.4265391324,-122.076401378,-32.7680374441
2017-03-31 20:55:03.672391337,1490993703672391337,37.4265391287,-122.076401375,-32.7691542247
2017-03-31 20:55:03.714089943,1490993703714089943,37.4265391269,-122.076401375,-32.7696559669
2017-03-31 20:55:03.755753610,1490993703755753610,37.4265391289,-122.076401382,-32.7689607219
2017-03-31 20:55:03.797382147,1490993703797382147,37.4265391309,-122.07640139,-32.7682660664
2017-03-31 20:55:03.839081858,1490993703839081858,37.4265391307,-122.07640139,-32.7679708109
2017-03-31 20:55:03.880825885,1490993703880825885,37.4265391303,-122.076401389,-32.7676994562
2017-03-31 20:55:03.922407419,1490993703922407419,37.42653913,-122.076401389,-32.7674291565
2017-03-31 20:55:03.964112944,1490993703964112944,37.4265391296,-122.076401389,-32.7671580514
2017-03-31 20:55:04.005744135,1490993704005744135,37.4265391293,-122.076401388,-32.7668874289
2017-03-31 20:55:04.047381114,1490993704047381114,37.4265391289,-122.076401388,-32.7666167698
2017-03-31 20:55:04.089033467,1490993704089033467,37.4265391285,-122.076401387,-32.7663460092
2017-03-31 20:55:04.130688052,1490993704130688052,37.4265391269,-122.076401385,-32.7667526771
2017-03-31 20:55:04.172363630,1490993704172363630,37.4265391248,-122.076401383,-32.767386462
2017-03-31 20:55:04.214024938,1490993704214024938,37.4265391231,-122.076401379,-32.7679035102
2017-03-31 20:55:04.255734534,1490993704255734534,37.4265391218,-122.076401374,-32.7682066348
2017-03-31 20:55:04.297398050,1490993704297398050,37.4265391206,-122.076401368,-32.7685094246
2017-03-31 20:55:04.339050420,1490993704339050420,37.4265391183,-122.076401368,-32.7676419292
2017-03-31 20:55:04.380775989,1490993704380775989,37.4265391159,-122.076401368,-32.7666906605
2017-03-31 20:55:04.422367833,1490993704422367833,37.4265391141,-122.076401369,-32.766115119
2017-03-31 20:55:04.464109644,1490993704464109644,37.4265391128,-122.076401372,-32.7658319519
2017-03-31 20:55:04.505720064,1490993704505720064,37.4265391119,-122.076401374,-32.7658230715
2017-03-31 20:55:04.547421381,1490993704547421381,37.4265391129,-122.076401374,-32.7672271771
2017-03-31 20:55:04.589082906,1490993704589082906,37.4265391138,-122.076401374,-32.768629938
2017-03-31 20:55:04.630703289,1490993704630703289,37.4265391148,-122.076401374,-32.7700313198
2017-03-31 20:55:04.672423123,1490993704672423123,37.4265391158,-122.076401374,-32.771436046
2017-03-31 20:55:04.714038394,1490993704714038394,37.4265391168,-122.076401375,-32.7728372467
2017-03-31 20:55:04.755789728,1490993704755789728,37.4265391178,-122.076401375,-32.7742430418
2017-03-31 20:55:04.797358594,1490993704797358594,37.4265391188,-122.076401375,-32.7756426824
2017-03-31 20:55:04.839107717,1490993704839107717,37.4265391206,-122.076401378,-32.7741000567
