index,timestamp,tx,ty,tz,rx,ry,rz
2017-03-31 20:27:25.254920157,1490992045254920157,18.136,-12.119,0.469,0.0,0.0,0.0
2017-03-31 20:27:25.296604153,1490992045296604153,18.136,-12.119,0.469,0.0,0.0,0.0
2017-03-31 20:27:25.338279548,1490992045338279548,18.0289994868,-12.0226995382,0.459446382753,0.0,0.0,0.0
2017-03-31 20:27:25.379923958,1490992045379923958,17.9046703643,-11.9108033279,0.448345568245,0.0,0.0,0.0
2017-03-31 20:27:25.421640313,1490992045421640313,17.7852679938,-11.8028125922,0.434434817666,0.0,0.0,0.0
2017-03-31 20:27:25.463323636,1490992045463323636,17.6692544791,-11.6975334241,0.418746157318,0.0,0.0,0.0
2017-03-31 20:27:25.505003503,1490992045505003503,17.5576045557,-11.5969197767,0.405186543973,0.0,0.0,0.0
2017-03-31 20:27:25.546647622,1490992045546647622,17.464901797,-11.5165551549,0.400851522879,0.0,0.0,0.0
2017-03-31 20:27:25.588316089,1490992045588316089,17.3721443302,-11.4361431064,0.396513943496,0.0,0.0,0.0
2017-03-31 20:27:25.629942573,1490992045629942573,17.2685517593,-11.3466005726,0.393106547718,0.0,0.0,0.0
2017-03-31 20:27:25.671666911,1490992045671666911,17.1177266678,-11.2172412244,0.393671435701,0.0,0.0,0.0
2017-03-31 20:27:25.713347437,1490992045713347437,16.9853839704,-11.1013924418,0.393825718635,0.0,0.0,0.0
2017-03-31 20:27:25.754963766,1490992045754963766,16.8787447457,-11.004334085,0.393409159163,0.0,0.0,0.0
2017-03-31 20:27:25.796635598,1490992045796635598,16.7720304072,-10.9072510016,0.393023635113,0.0,0.0,0.0
2017-03-31 20:27:25.838249343,1490992045838249343,16.6689182603,-10.8156874152,0.394260980876,0.0,0.0,0.0
2017-03-31 20:27:25.879916532,1490992045879916532,16.5656729042,-10.724005539,0.395499925149,0.0,0.0,0.0
