index,timestamp,tx,ty,tz,rx,ry,rz
2017-03-31 20:27:25.254920157,1490992045254920157,12.2770810535,-44.9572162561,1.81658108185,0.0,0.0,0.0
2017-03-31 20:27:25.296604153,1490992045296604153,12.4282294788,-44.7388907529,1.81238251448,0.0,0.0,0.0
2017-03-31 20:27:25.338279548,1490992045338279548,12.5731914629,-44.5296862964,1.80829528704,0.0,0.0,0.0
2017-03-31 20:27:25.379923958,1490992045379923958,12.6925261891,-44.3582662477,1.8046690937,0.0,0.0,0.0
2017-03-31 20:27:25.421640313,1490992045421640313,12.8120663182,-44.1865511451,1.80103665884,0.0,0.0,0.0
2017-03-31 20:27:25.463323636,1490992045463323636,12.9454614561,-43.9948818731,1.79670947552,0.0,0.0,0.0
2017-03-31 20:27:25.505003503,1490992045505003503,13.1502784262,-43.7003516846,1.78881019844,0.0,0.0,0.0
2017-03-31 20:27:25.546647622,1490992045546647622,13.3329888132,-43.4365940608,1.78271135971,0.0,0.0,0.0
2017-03-31 20:27:25.588316089,1490992045588316089,13.4815622702,-43.22033714,1.77940972733,0.0,0.0,0.0
2017-03-31 20:27:25.629942573,1490992045629942573,13.6299851164,-43.0042994417,1.77611144186,0.0,0.0,0.0
2017-03-31 20:27:25.671666911,1490992045671666911,13.7366871964,-42.8492711007,1.77289289122,0.0,0.0,0.0
2017-03-31 20:27:25.713347437,1490992045713347437,13.8418106262,-42.696550118,1.76968078642,0.0,0.0,0.0
2017-03-31 20:27:25.754963766,1490992045754963766,13.9467726396,-42.5440636375,1.76647361379,0.0,0.0,0.0
2017-03-31 20:27:25.796635598,1490992045796635598,14.1370854085,-42.2656345266,1.76142802046,0.0,0.0,0.0
2017-03-31 20:27:25.838249343,1490992045838249343,14.3792866746,-41.9108442729,1.75527183727,0.0,0.0,0.0
2017-03-31 20:27:25.879916532,1490992045879916532,14.5283892365,-41.6944183935,1.7511415724,0.0,0.0,0.0
2017-03-31 20:27:25.923999380,1490992045923999380,14.6861358501,-41.4654454696,1.74677186011,0.0,0.0,0.0
2017-03-31 20:27:25.963268765,1490992045963268765,14.8284498093,-41.2594734164,1.74284711269,0.0,0.0,0.0
2017-03-31 20:27:26.004957688,1490992046004957688,14.9800025791,-41.040285526,1.73867210526,0.0,0.0,0.0
2017-03-31 20:27:26.046613857,1490992046046613857,15.1325825637,-40.8204881582,1.73493984211,0.0,0.0,0.0
2017-03-31 20:27:26.088276391,1490992046088276391,15.2872298604,-40.5992624613,1.73199016615,0.0,0.0,0.0
2017-03-31 20:27:26.132401423,1490992046132401423,15.4509323196,-40.3650371582,1.72875377007,0.0,0.0,0.0
2017-03-31 20:27:26.171620562,1490992046171620562,15.5947610524,-40.1583324766,1.72364509923,0.0,0.0,0.0
2017-03-31 20:27:26.213407280,1490992046213407280,15.7480053098,-39.9380961941,1.71820199719,0.0,0.0,0.0
2017-03-31 20:27:26.254954364,1490992046254954364,15.8999944542,-39.7192804734,1.71354783504,0.0,0.0,0.0
2017-03-31 20:27:26.296665024,1490992046296665024,16.0523237574,-39.4997104423,1.70939717282,0.0,0.0,0.0
2017-03-31 20:27:26.340751477,1490992046340751477,16.2055535495,-39.2783822238,1.70459187975,0.0,0.0,0.0
2017-03-31 20:27:26.379923462,1490992046379923462,16.3179953212,-39.1144944907,1.69904680608,0.0,0.0,0.0
2017-03-31 20:27:26.421752759,1490992046421752759,16.4380646978,-38.9394892623,1.69312557654,0.0,0.0,0.0
2017-03-31 20:27:26.463406797,1490992046463406797,16.5688441008,-38.7490613043,1.68711502964,0.0,0.0,0.0
2017-03-31 20:27:26.505031209,1490992046505031209,16.7740397462,-38.4514148736,1.68035033804,0.0,0.0,0.0
2017-03-31 20:27:26.549089995,1490992046549089995,16.9686451596,-38.1682819486,1.67340420609,0.0,0.0,0.0
2017-03-31 20:27:26.588378321,1490992046588378321,17.1109905891,-37.9598756569,1.66750591482,0.0,0.0,0.0
2017-03-31 20:27:26.630075522,1490992046630075522,17.2620639164,-37.7386909511,1.66124597031,0.0,0.0,0.0
2017-03-31 20:27:26.671590551,1490992046671590551,17.4136954545,-37.5204380449,1.65780667497,0.0,0.0,0.0
2017-03-31 20:27:26.713298325,1490992046713298325,17.5660813691,-37.3012528252,1.65446670972,0.0,0.0,0.0
2017-03-31 20:27:26.757451091,1490992046757451091,17.7266781092,-37.0693996431,1.64911831039,0.0,0.0,0.0
2017-03-31 20:27:26.796611396,1490992046796611396,17.8686627351,-36.8638749359,1.64323496954,0.0,0.0,0.0
2017-03-31 20:27:26.838375154,1490992046838375154,18.0197053536,-36.6444909774,1.63697061027,0.0,0.0,0.0
2017-03-31 20:27:26.880006674,1490992046880006674,18.1683533751,-36.4248222346,1.63077694271,0.0,0.0,0.0
2017-03-31 20:27:26.921633796,1490992046921633796,18.3169858574,-36.2051764552,1.62458392261,0.0,0.0,0.0
2017-03-31 20:27:26.965818377,1490992046965818377,18.4745791244,-35.9676159349,1.61829745016,0.0,0.0,0.0
2017-03-31 20:27:27.004908533,1490992047004908533,18.6139542311,-35.7562042561,1.61281640664,0.0,0.0,0.0
2017-03-31 20:27:27.046614186,1490992047046614186,18.7619308411,-35.5320958809,1.60682346833,0.0,0.0,0.0
2017-03-31 20:27:27.088266958,1490992047088266958,18.9083606092,-35.3109911029,1.60056578593,0.0,0.0,0.0
2017-03-31 20:27:27.129958269,1490992047129958269,19.0549253721,-35.0896824866,1.59430233453,0.0,0.0,0.0
2017-03-31 20:27:27.171621244,1490992047171621244,19.2076677997,-34.8707311623,1.59319742259,0.0,0.0,0.0
2017-03-31 20:27:27.213290472,1490992047213290472,19.3607523039,-34.6518582762,1.5923539818,0.0,0.0,0.0
2017-03-31 20:27:27.254922235,1490992047254922235,19.5124128309,-34.4377661239,1.58983869374,0.0,0.0,0.0
