timestamp,lat,long,alt
1490994769634402332,37.4270825159,-122.075181582,-34.1856883641
1490994770417579802,37.4270819401,-122.075182399,-34.1992691441
1490994770634363999,37.4270810779,-122.075183547,-34.2033987949
1490994771634276414,37.4270676941,-122.07520006,-34.1555760335
1490994772410500634,37.4270485019,-122.075225319,-34.2089955718
1490994773206655704,37.4270243723,-122.075258315,-34.0952858145
1490994773507350936,37.4270145224,-122.075272177,-34.0243792382
1490994773635270879,37.4270110742,-122.075276739,-34.0094529037
1490994774407477990,37.4269828144,-122.075314457,-33.7579638299
1490994774507301056,37.4269792075,-122.075319154,-33.7273950928
1490994774634697528,37.4269756201,-122.075323807,-33.6993915842
1490994775634168227,37.426937241,-122.075367749,-33.533327838
1490994775707045247,37.4269333844,-122.075372056,-33.5599417002
1490994776206615753,37.4269133387,-122.075393421,-33.3882927278
1490994776409485251,37.4269054373,-122.075402142,-33.3595144812
1490994776633201724,37.4268972159,-122.075410516,-33.3606329567
1490994777633633832,37.4268551123,-122.075454369,-33.2560691804
1490994778413295046,37.4268197681,-122.075491951,-33.1936701727
1490994779633012637,37.426763209,-122.075554218,-33.133568042
1490994779908670207,37.4267485418,-122.075570577,-33.124214282
1490994780506054405,37.4267195469,-122.075603547,-33.089338187
1490994780632981370,37.4267148276,-122.075608971,-33.0784092578
